Brandstof omschrijving,Merk,Aantal auto's
Diesel,SUZUKI,620
Diesel,SWIFT,1
Diesel,SWIFT GROUP LIMITED,6
Diesel,T.E.C. CARAVAN GMBH CO.,8
Diesel,TALBOT,2
Diesel,TATA,3
Diesel,TATRA,1
Diesel,TEC,245
Diesel,THE LONDON TAXI COMPANY,1
Diesel,TOTH ES FIAI,232
Diesel,TOURNE MOBIL,41
Diesel,TOYOTA,4326
Diesel,TRIGANO,598
Diesel,TRIGANO VDL,6
Diesel,TRIPLE E,3
Diesel,TURRI,1
Diesel,TURRI & BOARI,1
Diesel,UAZ,2
Diesel,UMM,2
Diesel,VAN HOOL,3
Diesel,VAN HOOL-FIAT,2
Diesel,VANSTER,3
Diesel,VARIOMOBIL,6
Diesel,VAUXHALL,31
Diesel,VAZ,1
Diesel,VEB,1
Diesel,VIO EUROPE,1
Diesel,VIXEN,3
Diesel,VOLKSWAGEN,111313
Diesel,VOLVO,83428
Diesel,VW,314
Diesel,WEINSBERG,1542
Diesel,WESTFALIA,887
Diesel,WESTFALIA MOBIL,41
Diesel,WESTFALIA VAN CONVERSION,14
Diesel,WILLYS,14
Diesel,WILLYS MOTORS,1
Diesel,WILLYS OVERLAND,5
Diesel,WINGAMM,8
Diesel,WINNEBAGO,4
Diesel,XGO,40
Diesel,YUCON,2
Diesel,ZELFBOUW,2
Elektriciteit,AIWAYS,507
Elektriciteit,AUDI,21080
Elektriciteit,AUSTIN,1
Elektriciteit,BMW,8705
Elektriciteit,BMW I,9009
Elektriciteit,BYD,229
Elektriciteit,CECOMP,2
Elektriciteit,CHEVROLET,41
Elektriciteit,CHRYSLER,1
Elektriciteit,CITROEN,4261
Elektriciteit,CUPRA,3833
Elektriciteit,DACIA,1739
Elektriciteit,DAIMLER BENZ,1
Elektriciteit,DETROIT ELECTRIC,1
Elektriciteit,DFSK,41
Elektriciteit,DS,618
Elektriciteit,E GO,3
Elektriciteit,FAW,4
Elektriciteit,FIAT,5170
Elektriciteit,FORD,5015
Elektriciteit,FORD-CNG-TECHNIK,25
Elektriciteit,GERMAN E-CARS,1
Elektriciteit,HAN,1
Elektriciteit,HONDA,234
Elektriciteit,HYUNDAI,26173
Elektriciteit,JAC,27
Elektriciteit,JAGUAR,4775
Elektriciteit,JINGDEZHEN CHANGHE,1
Elektriciteit,KIA,26881
Elektriciteit,LAND ROVER,5
Elektriciteit,LEXUS,247
Elektriciteit,LOTUS,1
Elektriciteit,LUCID MOTORS,8
Elektriciteit,M.A.N.,2
Elektriciteit,MAN,11
Elektriciteit,MAXUS,14
Elektriciteit,MAZDA,2056
Elektriciteit,MERCEDES-BENZ,7015
Elektriciteit,MG,5549
Elektriciteit,MIA,13
Elektriciteit,MINI,4862
Elektriciteit,MITSUBISHI,80
Elektriciteit,MK SPORTSCARS,1
Elektriciteit,MW MOTORS SRO,1
Elektriciteit,NIO,54
Elektriciteit,NISSAN,14015
Elektriciteit,OPEL,11279
Elektriciteit,PANHARD,1
Elektriciteit,PEUGEOT,15090
Elektriciteit,POESSL,1
Elektriciteit,POLESTAR,8082
Elektriciteit,PORSCHE,2024
Elektriciteit,RENAULT,16200
Elektriciteit,SEAT,1759
Elektriciteit,SERES,23
Elektriciteit,SKODA,15137
Elektriciteit,SMART,1943
Elektriciteit,SSANGYONG,24
Elektriciteit,STELLA,1
Elektriciteit,SUBARU,28
Elektriciteit,SUZUKI,1
Elektriciteit,TESLA,60480
Elektriciteit,TESLA MOTORS,6382
Elektriciteit,THE LONDON TAXI COMPANY,1
Elektriciteit,THINK,27
Elektriciteit,TOYOTA,544
Elektriciteit,TRABANT,1
Elektriciteit,UAZ,1
Elektriciteit,VEICOLI,1
Elektriciteit,VOLKSWAGEN,42106
Elektriciteit,VOLKSWAGEN/ZIMNY,1
Elektriciteit,VOLVO,9451
Elektriciteit,VW,70
Elektriciteit,WAVERLEY,1
Elektriciteit,XPENG,19
Elektriciteit,ZELFBOUW,3
Elektriciteit,ZOTYE,1
Hybride,ALFA ROMEO,191
Hybride,ASTON MARTIN,1
Hybride,AUDI,42039
Hybride,AUTO UNION,1
Hybride,BENTLEY,74
Hybride,BMW,25745
Hybride,BMW I,1018
Hybride,CADILLAC,6
Hybride,CHEVROLET,523
Hybride,CHRYSLER,100
Hybride,CITROEN,2386
Hybride,CUPRA,514
Hybride,DS,749
Hybride,FERRARI,43
Hybride,FIAT,9236
Hybride,FISKER,81
Hybride,FORD,27287
Hybride,FORD-CNG-TECHNIK,3085
Hybride,GEELY,1
Hybride,HONDA,6247
Hybride,HYUNDAI,24011
Hybride,INDUSAUTO,3
Hybride,INFINITI,32
Hybride,JAGUAR,333
Hybride,JAGUAR LAND ROVER,5
Hybride,JEEP,1429
Hybride,KARMA,12
Hybride,KIA,49463
Hybride,KIA MOTORS,1
Hybride,KUHLMANN-CARS,1
Hybride,LAMBORGHINI,3
Hybride,LANCIA,1
Hybride,LAND ROVER,6267
Hybride,LEVC,30
Hybride,LEXUS,16877
Hybride,LINCOLN,3
Hybride,LYNK&CO,9248
Hybride,MASERATI,26
Hybride,MAZDA,11887
Hybride,MC LAREN,1
Hybride,MERCEDES-AMG,108
Hybride,MERCEDES-BENZ,24618
Hybride,MG,391
Hybride,MINI,2386
Hybride,MITSUBISHI,24238
Hybride,NISSAN,4675
Hybride,OPEL,3321
Hybride,OVRIGA,9
Hybride,PEUGEOT,4314
Hybride,POLESTAR,31
Hybride,PORSCHE,5208
Hybride,RENAULT,14890
Hybride,SEAT,3012
Hybride,SKODA,5613
Hybride,SUBARU,783
Hybride,SUZUKI,20939
Hybride,TESLA MOTORS,1
Hybride,TOYOTA,184535
Hybride,VIO EUROPE,1
Hybride,VOLKSWAGEN,26124
Hybride,VOLVO,50645
Hybride,VW,70
